지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액
41117,매봉로,매탄동,1209,e-편한세상,2010,15,84.9675,2020,1,23,580000000
41117,매봉로,매탄동,1209,e-편한세상,2010,14,84.9675,2020,1,23,630000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,30,84.7273,2020,1,23,600000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,9,59.648,2020,1,23,405000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,1,84.975,2020,1,23,510000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,5,45.88,2020,1,23,229000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,10,45.88,2020,1,23,260000000
41117,동수원로,매탄동,810-1,현대,1989,7,70.96,2020,1,23,250000000
41117,동수원로,매탄동,810-1,현대,1989,1,70.96,2020,1,23,278000000
41117,동수원로,매탄동,810-1,현대,1989,6,84.94,2020,1,23,350000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,15,59.99,2020,1,23,214000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,13,59.99,2020,1,23,230000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,11,59.99,2020,1,23,213000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,12,49.95,2020,1,23,177000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,10,44.2,2020,1,23,130000000
41117,매탄로,매탄동,1274,우남퍼스트빌,2002,16,101.945,2020,1,23,485000000
41117,인계로,매탄동,810-4,성일,1988,1,49.68,2020,1,23,175000000
41117,인계로,매탄동,810-4,성일,1988,7,39.99,2020,1,23,154000000
41117,매영로,매탄동,810,삼성2,1989,3,84.87,2020,1,23,320000000
41117,매영로,매탄동,810,삼성2,1989,10,54.66,2020,1,23,220000000
41117,인계로,매탄동,810-3,삼성1,1988,10,84.6,2020,1,23,319000000
41117,인계로,매탄동,897,매탄주공5,1985,1,73.08,2020,1,23,790000000
41117,동탄원천로,매탄동,1217-7,삼성3,1993,3,59.76,2020,1,24,410000000
41117,인계로,매탄동,810-4,성일,1988,11,39.99,2020,1,24,165000000
41117,동수원로,매탄동,810-2,동남,1989,6,49.68,2020,1,28,202500000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,1,84.7807,2020,1,28,532000000
41117,권광로276번길,매탄동,172-181,성신,1989,3,64.62,2020,1,28,426500000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,3,49.94,2020,1,28,283000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,3,44.2,2020,1,28,244000000
41117,동탄원천로,매탄동,1217-7,삼성3,1993,1,59.76,2020,1,28,420000000
41117,매영로,매탄동,810,삼성2,1989,3,74.4,2020,1,28,270000000
41117,매영로,매탄동,810,삼성2,1989,2,84.87,2020,1,28,278000000
41117,인계로,매탄동,810-3,삼성1,1988,5,55.16,2020,1,28,230000000
41117,동수원로,매탄동,810-2,동남,1989,14,49.68,2020,1,28,209000000
41117,동수원로,매탄동,810-2,동남,1989,4,49.68,2020,1,29,198000000
